ОО,ИИТА,33-ЦиАТ,1-МГ-50,2,Управление ИТ-проектами,17,Пр,34,Дроботун Н.В.,Четверг,числ/знам,10:05-11:30,Дистанционное обучение,ДО
ОО,ИИТА,33-ЦиАТ,1-МГ-50,2,Управление ИТ-проектами,17,Лек,17,Дроботун Н.В.,Четверг,числ,11:40-13:05,Дистанционное обучение,ДО
ОО,ИИТА,34-ОбщНаук,1-МГ-50,2,Мировые культуры и межкультурные коммуникации,17,Пр,17,Тихонова В.Б.,Четверг,знам,11:40-13:05,Дистанционное обучение,ДО
ОО,ИИТА,34-ОбщНаук,1-МГ-50,2,Мировые культуры и межкультурные коммуникации,17,Лек,17,Тихонова В.Б.,Четверг,числ,13:45-15:10,Дистанционное обучение,ДО
ОО,ИИТА,35-ПППО,1-МГ-50,2,Психология профессионализма,17,Лек,17,Акимов С.С.,Четверг,знам,13:45-15:10,Дистанционное обучение,ДО
ОО,ИИТА,35-ПППО,1-МГ-50,2,Психология профессионализма,17,Пр,34,Акимов С.С.,Четверг,числ/знам,15:20-16:45,Дистанционное обучение,ДО
ОО,ИИТА,19-ИнЯз,1-МГ-50,2,Иностранный язык в профессиональной деятельности,17,Пр,34,,Пятница,числ/знам,10:05-11:30,Дистанционное обучение,ДО
ОО,ИИТА,33-ЦиАТ,1-МГ-50,2,Креативный инжиниринг,17,"Лек, Пр",34,Костюк И.С.,Пятница,числ/знам,11:40-13:05,Дистанционное обучение,ДО
ОО,ИИТА,19-ИнЯз,1-МГ-56,7,Иностранный язык в профессиональной деятельности,17,Пр,34,,Вторник,числ/знам,11:40-13:05,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Научно-практический семинар,17,Пр,34,Колодин А.А.,Вторник,числ/знам,15:20-16:45,"пр. Вознесенский, д. 46",В 457
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Научно-практический семинар,17,Пр,17,Колодин А.А.,Вторник,числ,16:55-18:20,"пр. Вознесенский, д. 46",В 457
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,,Учебная практика (ознакомительная практика),17,Пр,68,Чалова Е.И.,Среда,числ/знам,10:05-13:05,"пр. Вознесенский, д. 46",В 456
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы современного программирования,17,Пр,34,Бусыгин К.Н.,Среда,числ/знам,13:45-15:10,"пр. Вознесенский, д. 46",В 458
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Методы современного программирования,17,Пр,17,Бусыгин К.Н.,Среда,числ,15:20-16:45,"пр. Вознесенский, д. 46",В 457
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Научные принципы и методы исследований,17,Пр,17,Ермин Д.А.,Четверг,числ,10:05-11:30,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Научные принципы и методы исследований,17,Лек,17,Ермин Д.А.,Четверг,знам,10:05-11:30,Дистанционное обучение,ДО
ОО,ИИТА,20-ИСиЗИ,1-МГ-56,7,Научные принципы и методы исследований,17,Пр,34,Ермин Д.А.,Четверг,числ/знам,11:40-13:05,Дистанционное обучение,ДО
